Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.347956511,1.891995487,2.23,repeating,
1,6,,0.84,0.846153846,1.798685344,2.038159682,1.32,chaos,
2,7,,0.696,0.769230769,1.909910066,2.10390991,1.04,chaos,
3,5,,0.552,0.692307692,1.821742051,2.10390991,1.255,chaos,
4,3,,0.472,0.615384615,1.750519422,2.075869297,0.95,chaos,
5,8,,0.352,0.538461538,1.525738487,1.987773371,0.88,chaos,
6,4,,0.232,0.461538462,1.204358178,1.88109476,0.89,chaos,
7,1,,0.208,0.384615385,1.049198035,1.546593564,0.79,chaos,
8,11,,0.184,0.307692308,0.974040882,1.352030102,0.79,chaos,
9,10,,0.136,0.230769231,0.70659536,0.991264261,0.79,chaos,
10,12,,0.128,0.153846154,0.674095106,0.773228349,0.61,chaos,
11,2,,0.08,0.076923077,0.40217919,0.391243564,0,dead,
12,9,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,20,,,,,,,,
Rule:,4.21412E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.895994689,2.075869297,2.53,chaos,
1,11,,0.968,0.846153846,1.998800167,2.199687795,2.29,chaos,
2,7,,0.824,0.769230769,2.22196867,2.23739741,1.835,chaos,
3,1,,0.8,0.692307692,2.232123702,2.199687795,1.925,chaos,
4,3,,0.72,0.615384615,2.228172788,2.133937566,2.055,chaos,
5,6,,0.568,0.538461538,1.998740217,2.045841641,1.74,chaos,
6,5,,0.424,0.461538462,1.687209418,1.88109476,2.19,chaos,
7,9,,0.344,0.384615385,1.336286351,1.546593564,2.305,chaos,
8,8,,0.224,0.307692308,1.094134972,1.352030102,1.9,chaos,
9,10,,0.176,0.230769231,0.830069103,0.991264261,1.5,chaos,
10,12,,0.168,0.153846154,0.798113368,0.773228349,1.64,chaos,
11,4,,0.048,0.076923077,0.277839574,0.391243564,0.66,chaos,
12,2,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,21,,,,,,,,
Rule:,2.21133E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.848504096,2.133937566,3.49,chaos,
1,3,,0.912,0.846153846,2.00401848,2.133937566,3.475,chaos,
2,9,,0.832,0.769230769,1.917345766,2.075869297,0.425,repeating,
3,4,,0.712,0.692307692,1.635143564,1.826245258,0.06,repeating,
4,10,,0.664,0.615384615,1.660232557,1.826245258,0.06,repeating,
5,1,,0.64,0.538461538,1.641726997,1.738149333,0.06,repeating,
6,6,,0.488,0.461538462,1.591642492,1.669180337,0.87,chaos,
7,8,,0.368,0.384615385,1.41775797,1.546593564,0.75,chaos,
8,2,,0.32,0.307692308,1.323205166,1.352030102,0,dead,
9,11,,0.296,0.230769231,1.172190243,0.991264261,0,dead,
10,5,,0.152,0.153846154,0.660038539,0.773228349,0,dead,
11,12,,0.144,0.076923077,0.594619344,0.391243564,0,dead,
12,7,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,22,,,,,,,,
Rule:,2.11422E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.982720945,2.199687795,2.15,chaos,
1,9,,0.912,0.846153846,2.206927335,2.295465679,2.1,chaos,
2,6,,0.76,0.769230769,2.298811238,2.295465679,1.805,chaos,
3,8,,0.64,0.692307692,2.216038551,2.257756064,1.72,chaos,
4,2,,0.592,0.615384615,2.125001879,2.133937566,1.62,chaos,
5,10,,0.544,0.538461538,2.048636027,1.987773371,1.45,chaos,
6,5,,0.4,0.461538462,1.671012886,1.823026491,1.645,chaos,
7,1,,0.376,0.384615385,1.524252216,1.488525295,1.185,edge,
8,7,,0.232,0.307692308,1.109951965,1.352030102,1.275,edge,
9,11,,0.208,0.230769231,0.980752722,1.145110414,0.82,edge,
10,3,,0.128,0.153846154,0.595100682,0.773228349,1.63,chaos,
11,12,,0.12,0.076923077,0.529360865,0.391243564,1.52,chaos,
12,4,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,23,,,,,,,,
Rule:,1.43341E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.860958794,2.075869297,2.695,edge,
1,11,,0.968,0.846153846,1.943701694,2.133937566,2.525,chaos,
2,8,,0.848,0.769230769,1.830843583,1.922023143,2.895,repeating,
3,5,,0.704,0.692307692,1.690764969,1.826245258,2.925,repeating,
4,2,,0.656,0.615384615,1.49020629,1.548580607,2.925,repeating,
5,10,,0.608,0.538461538,1.503844353,1.52623491,2.795,repeating,
6,7,,0.464,0.461538462,1.445825834,1.457265914,1.47,chaos,
